"raw_location","source_contexts","occurrence_count","location_kind","airport_code","canonical_city","country","canonical_reference_point","mapping_basis","confidence","review_status","notes"
"Strasbourg Hbf.","destination|origin","2","station_or_terminal","","Strasbourg","France","Gare de Strasbourg","explicit_alias_rule","high","approved",""
"SXB Flug.","origin","1","airport","SXB","Strasbourg","France","Gare de Strasbourg","airport_code","medium","approved",""
"TRF Flug.","origin","1","airport","TRF","Oslo","Norway","Oslo S","airport_code","high","approved","Owner-confirmed airport-to-domain-City mapping"
"Triberg","transit_point","1","transit_place","","Triberg","Germany","Triberg","canonical_name_match","high","approved",""
"Ulm Hbf.","destination|origin","2","station_or_terminal","","Ulm","Germany","Ulm Hbf","station_suffix_removed","high","approved",""
"Utrecht","destination","1","city_or_place","","Utrecht","Netherlands","Utrecht Centraal","canonical_name_match","high","approved",""
"Utrecht Central","origin","1","station_or_terminal","","Utrecht","Netherlands","Utrecht Centraal","explicit_alias_rule","high","approved",""
"VNO Flug.","destination|origin","2","airport","VNO","Vilnius","Lithuania","Vilnius railway station","airport_code","medium","approved",""
"Wiesbaden Hbf.","transit_point","1","station_or_terminal","","Wiesbaden","Germany","Wiesbaden Hbf","station_suffix_removed","high","approved",""
"Wuppertal Hbf.","destination|origin","3","station_or_terminal","","Wuppertal","Germany","Wuppertal Hbf","station_suffix_removed","high","approved",""
"Würzburg Hbf.","transit_point","1","station_or_terminal","","Würzburg","Germany","Würzburg Hbf","station_suffix_removed","high","approved",""
"Zaandijk","destination|origin","2","city_or_place","","Zaandijk","Netherlands","Zaandijk Zaanse Schans","canonical_name_match","high","approved",""
